datetime,parkhaus_name,longitude,latitude,average_cost,parkhaus_occupancy,parkhaus_free_spaces,total_number_of_places,percent_occupied
2021-05-03 13:00:00,Börse,50.115228,8.676300999999999,6.364999999999999,1,50,51,0.0196078431372549
2021-05-03 13:00:00,Turmcenter,50.119927000000004,8.678794,3.765,129,73,202,0.6386138613861386
2021-05-03 13:00:00,Alte Oper,50.116377,8.671764999999999,6.364999999999999,95,268,363,0.26170798898071623
2021-05-03 13:00:00,Hauptbahnhof Süd,50.104484,8.660762,5.092,121,225,346,0.34971098265895956
2021-05-03 13:00:00,Am Theater,50.107141,8.673424,5.092,111,183,294,0.37755102040816324
2021-05-03 13:00:00,Baseler Platz,50.10453,8.666192,5.092,93,220,313,0.2971246006389776
2021-05-03 13:00:00,Hauptwache,50.112034,8.679455,6.364999999999999,97,137,234,0.41452991452991456
2021-05-03 13:00:00,Konstabler,50.11353,8.685165,5.092,176,33,209,0.8421052631578947
2021-05-03 13:00:00,Am Gericht,50.115651,8.690175,5.092,229,314,543,0.42173112338858193
2021-05-03 13:00:00,MyZeil,50.115823,8.679673,5.555,160,520,680,0.23529411764705882
2021-05-03 13:00:00,Konrad-Adenauer-Straße,50.117005999999996,8.687281,5.092,131,318,449,0.29175946547884185
2021-05-03 13:00:00,Karstadt,50.115796,8.683336,5.464999999999999,123,200,323,0.38080495356037153
