parkhaus_name,parkhaus_occupancy,Zeit,unix_timestamp
Börse,50,"02.05.2021, 10:50 Uhr",1619945400.0
Turmcenter,163,"02.05.2021, 10:50 Uhr",1619945400.0
Alte Oper,359,"02.05.2021, 10:50 Uhr",1619945400.0
Hauptbahnhof Süd,342,"02.05.2021, 10:50 Uhr",1619945400.0
Am Theater,293,"02.05.2021, 10:50 Uhr",1619945400.0
Baseler Platz,304,"02.05.2021, 10:50 Uhr",1619945400.0
Hauptwache,226,"02.05.2021, 10:50 Uhr",1619945400.0
Konstabler,203,"02.05.2021, 10:50 Uhr",1619945400.0
Am Gericht,542,"02.05.2021, 10:50 Uhr",1619945400.0
MyZeil,669,"02.05.2021, 10:50 Uhr",1619945400.0
Konrad-Adenauer-Straße,441,"02.05.2021, 10:50 Uhr",1619945400.0
Karstadt,geschlossen,"02.05.2021, 10:50 Uhr",1619945400.0
Börse,50,"02.05.2021, 10:50 Uhr",1619952600.0
Turmcenter,163,"02.05.2021, 10:50 Uhr",1619952600.0
Alte Oper,359,"02.05.2021, 10:50 Uhr",1619952600.0
Hauptbahnhof Süd,342,"02.05.2021, 10:50 Uhr",1619952600.0
Am Theater,293,"02.05.2021, 10:50 Uhr",1619952600.0
Baseler Platz,304,"02.05.2021, 10:50 Uhr",1619952600.0
Hauptwache,226,"02.05.2021, 10:50 Uhr",1619952600.0
Konstabler,203,"02.05.2021, 10:50 Uhr",1619952600.0
Am Gericht,542,"02.05.2021, 10:50 Uhr",1619952600.0
MyZeil,669,"02.05.2021, 10:50 Uhr",1619952600.0
Konrad-Adenauer-Straße,441,"02.05.2021, 10:50 Uhr",1619952600.0
Karstadt,geschlossen,"02.05.2021, 10:50 Uhr",1619952600.0
Börse,50,"02.05.2021, 10:50 Uhr",1619952600.0
Turmcenter,163,"02.05.2021, 10:50 Uhr",1619952600.0
Alte Oper,359,"02.05.2021, 10:50 Uhr",1619952600.0
Hauptbahnhof Süd,342,"02.05.2021, 10:50 Uhr",1619952600.0
Am Theater,293,"02.05.2021, 10:50 Uhr",1619952600.0
Baseler Platz,304,"02.05.2021, 10:50 Uhr",1619952600.0
Hauptwache,226,"02.05.2021, 10:50 Uhr",1619952600.0
Konstabler,203,"02.05.2021, 10:50 Uhr",1619952600.0
Am Gericht,542,"02.05.2021, 10:50 Uhr",1619952600.0
MyZeil,669,"02.05.2021, 10:50 Uhr",1619952600.0
Konrad-Adenauer-Straße,441,"02.05.2021, 10:50 Uhr",1619952600.0
Karstadt,geschlossen,"02.05.2021, 10:50 Uhr",1619952600.0
Börse,50,"02.05.2021, 11:00 Uhr",1619953200.0
Turmcenter,163,"02.05.2021, 11:00 Uhr",1619953200.0
Alte Oper,359,"02.05.2021, 11:00 Uhr",1619953200.0
Hauptbahnhof Süd,343,"02.05.2021, 11:00 Uhr",1619953200.0
Am Theater,292,"02.05.2021, 11:00 Uhr",1619953200.0
Baseler Platz,304,"02.05.2021, 11:00 Uhr",1619953200.0
Hauptwache,226,"02.05.2021, 11:00 Uhr",1619953200.0
Konstabler,202,"02.05.2021, 11:00 Uhr",1619953200.0
Am Gericht,542,"02.05.2021, 11:00 Uhr",1619953200.0
MyZeil,669,"02.05.2021, 11:00 Uhr",1619953200.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:00 Uhr",1619953200.0
Karstadt,geschlossen,"02.05.2021, 11:00 Uhr",1619953200.0
Börse,50,"02.05.2021, 11:00 Uhr",1619953200.0
Turmcenter,163,"02.05.2021, 11:00 Uhr",1619953200.0
Alte Oper,359,"02.05.2021, 11:00 Uhr",1619953200.0
Hauptbahnhof Süd,343,"02.05.2021, 11:00 Uhr",1619953200.0
Am Theater,292,"02.05.2021, 11:00 Uhr",1619953200.0
Baseler Platz,304,"02.05.2021, 11:00 Uhr",1619953200.0
Hauptwache,226,"02.05.2021, 11:00 Uhr",1619953200.0
Konstabler,202,"02.05.2021, 11:00 Uhr",1619953200.0
Am Gericht,542,"02.05.2021, 11:00 Uhr",1619953200.0
MyZeil,669,"02.05.2021, 11:00 Uhr",1619953200.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:00 Uhr",1619953200.0
Karstadt,geschlossen,"02.05.2021, 11:00 Uhr",1619953200.0
Börse,50,"02.05.2021, 11:00 Uhr",1619953200.0
Turmcenter,163,"02.05.2021, 11:00 Uhr",1619953200.0
Alte Oper,359,"02.05.2021, 11:00 Uhr",1619953200.0
Hauptbahnhof Süd,343,"02.05.2021, 11:00 Uhr",1619953200.0
Am Theater,292,"02.05.2021, 11:00 Uhr",1619953200.0
Baseler Platz,304,"02.05.2021, 11:00 Uhr",1619953200.0
Hauptwache,226,"02.05.2021, 11:00 Uhr",1619953200.0
Konstabler,202,"02.05.2021, 11:00 Uhr",1619953200.0
Am Gericht,542,"02.05.2021, 11:00 Uhr",1619953200.0
MyZeil,669,"02.05.2021, 11:00 Uhr",1619953200.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:00 Uhr",1619953200.0
Karstadt,geschlossen,"02.05.2021, 11:00 Uhr",1619953200.0
Börse,50,"02.05.2021, 11:05 Uhr",1619953500.0
Turmcenter,165,"02.05.2021, 11:05 Uhr",1619953500.0
Alte Oper,359,"02.05.2021, 11:05 Uhr",1619953500.0
Hauptbahnhof Süd,343,"02.05.2021, 11:05 Uhr",1619953500.0
Am Theater,292,"02.05.2021, 11:05 Uhr",1619953500.0
Baseler Platz,304,"02.05.2021, 11:05 Uhr",1619953500.0
Hauptwache,226,"02.05.2021, 11:05 Uhr",1619953500.0
Konstabler,202,"02.05.2021, 11:05 Uhr",1619953500.0
Am Gericht,543,"02.05.2021, 11:05 Uhr",1619953500.0
MyZeil,669,"02.05.2021, 11:05 Uhr",1619953500.0
Konrad-Adenauer-Straße,440,"02.05.2021, 11:05 Uhr",1619953500.0
Karstadt,geschlossen,"02.05.2021, 11:05 Uhr",1619953500.0
Börse,50,"02.05.2021, 11:11 Uhr",1619953860.0
Turmcenter,164,"02.05.2021, 11:11 Uhr",1619953860.0
Alte Oper,359,"02.05.2021, 11:11 Uhr",1619953860.0
Hauptbahnhof Süd,343,"02.05.2021, 11:11 Uhr",1619953860.0
Am Theater,292,"02.05.2021, 11:11 Uhr",1619953860.0
Baseler Platz,305,"02.05.2021, 11:11 Uhr",1619953860.0
Hauptwache,226,"02.05.2021, 11:11 Uhr",1619953860.0
Konstabler,202,"02.05.2021, 11:11 Uhr",1619953860.0
Am Gericht,543,"02.05.2021, 11:11 Uhr",1619953860.0
MyZeil,670,"02.05.2021, 11:11 Uhr",1619953860.0
Konrad-Adenauer-Straße,442,"02.05.2021, 11:11 Uhr",1619953860.0
Karstadt,geschlossen,"02.05.2021, 11:11 Uhr",1619953860.0
Börse,50,"02.05.2021, 11:21 Uhr",1619954460.0
Turmcenter,163,"02.05.2021, 11:21 Uhr",1619954460.0
Alte Oper,358,"02.05.2021, 11:21 Uhr",1619954460.0
Hauptbahnhof Süd,342,"02.05.2021, 11:21 Uhr",1619954460.0
Am Theater,291,"02.05.2021, 11:21 Uhr",1619954460.0
Baseler Platz,304,"02.05.2021, 11:21 Uhr",1619954460.0
Hauptwache,225,"02.05.2021, 11:21 Uhr",1619954460.0
Konstabler,201,"02.05.2021, 11:21 Uhr",1619954460.0
Am Gericht,543,"02.05.2021, 11:21 Uhr",1619954460.0
MyZeil,670,"02.05.2021, 11:21 Uhr",1619954460.0
Konrad-Adenauer-Straße,441,"02.05.2021, 11:21 Uhr",1619954460.0
Karstadt,geschlossen,"02.05.2021, 11:21 Uhr",1619954460.0
Börse,50,"02.05.2021, 11:26 Uhr",1619954760.0
Turmcenter,163,"02.05.2021, 11:26 Uhr",1619954760.0
Alte Oper,358,"02.05.2021, 11:26 Uhr",1619954760.0
Hauptbahnhof Süd,343,"02.05.2021, 11:26 Uhr",1619954760.0
Am Theater,290,"02.05.2021, 11:26 Uhr",1619954760.0
Baseler Platz,304,"02.05.2021, 11:26 Uhr",1619954760.0
Hauptwache,225,"02.05.2021, 11:26 Uhr",1619954760.0
Konstabler,200,"02.05.2021, 11:26 Uhr",1619954760.0
Am Gericht,543,"02.05.2021, 11:26 Uhr",1619954760.0
MyZeil,670,"02.05.2021, 11:26 Uhr",1619954760.0
Konrad-Adenauer-Straße,442,"02.05.2021, 11:26 Uhr",1619954760.0
Karstadt,geschlossen,"02.05.2021, 11:26 Uhr",1619954760.0
Börse,50,"02.05.2021, 11:31 Uhr",1619955060.0
Turmcenter,163,"02.05.2021, 11:31 Uhr",1619955060.0
Alte Oper,358,"02.05.2021, 11:31 Uhr",1619955060.0
Hauptbahnhof Süd,343,"02.05.2021, 11:31 Uhr",1619955060.0
Am Theater,290,"02.05.2021, 11:31 Uhr",1619955060.0
Baseler Platz,304,"02.05.2021, 11:31 Uhr",1619955060.0
Hauptwache,225,"02.05.2021, 11:31 Uhr",1619955060.0
Konstabler,197,"02.05.2021, 11:31 Uhr",1619955060.0
Am Gericht,543,"02.05.2021, 11:31 Uhr",1619955060.0
MyZeil,671,"02.05.2021, 11:31 Uhr",1619955060.0
Konrad-Adenauer-Straße,442,"02.05.2021, 11:31 Uhr",1619955060.0
Karstadt,geschlossen,"02.05.2021, 11:31 Uhr",1619955060.0
Börse,50,"02.05.2021, 11:41 Uhr",1619955660.0
Turmcenter,163,"02.05.2021, 11:41 Uhr",1619955660.0
Alte Oper,358,"02.05.2021, 11:41 Uhr",1619955660.0
Hauptbahnhof Süd,343,"02.05.2021, 11:41 Uhr",1619955660.0
Am Theater,290,"02.05.2021, 11:41 Uhr",1619955660.0
Baseler Platz,303,"02.05.2021, 11:41 Uhr",1619955660.0
Hauptwache,225,"02.05.2021, 11:41 Uhr",1619955660.0
Konstabler,197,"02.05.2021, 11:41 Uhr",1619955660.0
Am Gericht,544,"02.05.2021, 11:41 Uhr",1619955660.0
MyZeil,671,"02.05.2021, 11:41 Uhr",1619955660.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:41 Uhr",1619955660.0
Karstadt,geschlossen,"02.05.2021, 11:41 Uhr",1619955660.0
Börse,50,"02.05.2021, 11:46 Uhr",1619955960.0
Turmcenter,162,"02.05.2021, 11:46 Uhr",1619955960.0
Alte Oper,358,"02.05.2021, 11:46 Uhr",1619955960.0
Hauptbahnhof Süd,343,"02.05.2021, 11:46 Uhr",1619955960.0
Am Theater,288,"02.05.2021, 11:46 Uhr",1619955960.0
Baseler Platz,304,"02.05.2021, 11:46 Uhr",1619955960.0
Hauptwache,225,"02.05.2021, 11:46 Uhr",1619955960.0
Konstabler,195,"02.05.2021, 11:46 Uhr",1619955960.0
Am Gericht,543,"02.05.2021, 11:46 Uhr",1619955960.0
MyZeil,671,"02.05.2021, 11:46 Uhr",1619955960.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:46 Uhr",1619955960.0
Karstadt,geschlossen,"02.05.2021, 11:46 Uhr",1619955960.0
Börse,50,"02.05.2021, 11:56 Uhr",1619956560.0
Turmcenter,162,"02.05.2021, 11:56 Uhr",1619956560.0
Alte Oper,358,"02.05.2021, 11:56 Uhr",1619956560.0
Hauptbahnhof Süd,342,"02.05.2021, 11:56 Uhr",1619956560.0
Am Theater,288,"02.05.2021, 11:56 Uhr",1619956560.0
Baseler Platz,304,"02.05.2021, 11:56 Uhr",1619956560.0
Hauptwache,222,"02.05.2021, 11:56 Uhr",1619956560.0
Konstabler,192,"02.05.2021, 11:56 Uhr",1619956560.0
Am Gericht,543,"02.05.2021, 11:56 Uhr",1619956560.0
MyZeil,667,"02.05.2021, 11:56 Uhr",1619956560.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:56 Uhr",1619956560.0
Karstadt,geschlossen,"02.05.2021, 11:56 Uhr",1619956560.0
Börse,50,"02.05.2021, 11:56 Uhr",1619956560.0
Turmcenter,162,"02.05.2021, 11:56 Uhr",1619956560.0
Alte Oper,358,"02.05.2021, 11:56 Uhr",1619956560.0
Hauptbahnhof Süd,342,"02.05.2021, 11:56 Uhr",1619956560.0
Am Theater,288,"02.05.2021, 11:56 Uhr",1619956560.0
Baseler Platz,304,"02.05.2021, 11:56 Uhr",1619956560.0
Hauptwache,222,"02.05.2021, 11:56 Uhr",1619956560.0
Konstabler,192,"02.05.2021, 11:56 Uhr",1619956560.0
Am Gericht,543,"02.05.2021, 11:56 Uhr",1619956560.0
MyZeil,667,"02.05.2021, 11:56 Uhr",1619956560.0
Konrad-Adenauer-Straße,443,"02.05.2021, 11:56 Uhr",1619956560.0
Karstadt,geschlossen,"02.05.2021, 11:56 Uhr",1619956560.0
Börse,50,"02.05.2021, 12:11 Uhr",1619957460.0
Turmcenter,162,"02.05.2021, 12:11 Uhr",1619957460.0
Alte Oper,357,"02.05.2021, 12:11 Uhr",1619957460.0
Hauptbahnhof Süd,342,"02.05.2021, 12:11 Uhr",1619957460.0
Am Theater,285,"02.05.2021, 12:11 Uhr",1619957460.0
Baseler Platz,306,"02.05.2021, 12:11 Uhr",1619957460.0
Hauptwache,222,"02.05.2021, 12:11 Uhr",1619957460.0
Konstabler,191,"02.05.2021, 12:11 Uhr",1619957460.0
Am Gericht,543,"02.05.2021, 12:11 Uhr",1619957460.0
MyZeil,671,"02.05.2021, 12:11 Uhr",1619957460.0
Konrad-Adenauer-Straße,441,"02.05.2021, 12:11 Uhr",1619957460.0
Karstadt,geschlossen,"02.05.2021, 12:11 Uhr",1619957460.0
